@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
133,'2026/05/31 15:54:42:622',1,0.13497,0.545084,0.965926,0,0.5,1
134,'2026/05/31 15:54:42:656',1,0.134882,0.545639,0.961103,0,0.5,1
135,'2026/05/31 15:54:42:688',1,0.134262,0.545601,0.965907,0,0.5,1
136,'2026/05/31 15:54:42:722',1,0.134554,0.545739,0.964576,0,0.5,1
137,'2026/05/31 15:54:42:755',1,0.134434,0.546339,0.957558,0,0.5,1
138,'2026/05/31 15:54:42:788',1,0.134501,0.546359,0.954681,0,0.5,1
139,'2026/05/31 15:54:42:823',1,0.134455,0.546347,0.957675,0,0.5,1
140,'2026/05/31 15:54:42:854',1,0.134536,0.546236,0.956844,0,0.5,1
141,'2026/05/31 15:54:42:889',1,0.134468,0.546354,0.960744,0,0.5,1
142,'2026/05/31 15:54:42:923',1,0.134722,0.546627,0.959677,0,0.5,1
143,'2026/05/31 15:54:42:956',1,0.135,0.546797,0.958445,0,0.5,1
144,'2026/05/31 15:54:42:989',1,0.135134,0.546687,0.959174,0,0.5,1
145,'2026/05/31 15:54:43:024',1,0.135239,0.546955,0.955449,0,0.5,1
146,'2026/05/31 15:54:43:056',1,0.13535,0.546493,0.960262,0,0.5,1
147,'2026/05/31 15:54:43:088',1,0.135294,0.54657,0.958036,0,0.5,1
148,'2026/05/31 15:54:43:123',1,0.135271,0.54669,0.956719,0,0.5,1
149,'2026/05/31 15:54:43:154',1,0.134987,0.546826,0.957881,0,0.5,1
150,'2026/05/31 15:54:43:189',1,0.134943,0.546819,0.963612,0,0.5,1
151,'2026/05/31 15:54:43:222',1,0.135231,0.54697,0.96478,0,0.5,1
